Power_values(W),Z_0.010W,OA_0.010W,CA_0.010W,Z_0.015W,OA_0.015W,CA_0.015W,Z_0.025W,OA_0.025W,CA_0.025W,Z_0.050W,OA_0.050W,CA_0.050W,Z_0.075W,OA_0.075W,CA_0.075W,Z_0.100W,OA_0.100W,CA_0.100W,Z_0.125W,OA_0.125W,CA_0.125W,Z_0.150W,OA_0.150W,CA_0.150W,Z_0.175W,OA_0.175W,CA_0.175W,Z_0.200W,OA_0.200W,CA_0.200W,Z_0.225W,OA_0.225W,CA_0.225W,Z_0.250W,OA_0.250W,CA_0.250W
,3.6,0.0049075,0.0022377,3.6,0.0073439,0.0032893,3.6,0.012279,0.005553,3.6,0.02476,0.01119,3.6,0.037809,0.01573,3.6,0.049408,0.022816,3.6,0.063129,0.01175,3.6,0.075935,0.034842,3.6,0.08802,0.040452,3.6,0.098607,0.042492,3.6,0.11091,0.046814,3.6,0.12272,0.050489
,3.7,0.0049074,0.0022376,3.7,0.007344,0.0032849,3.7,0.012278,0.0055512,3.7,0.024759,0.011184,3.7,0.037808,0.015741,3.7,0.049407,0.022826,3.7,0.063119,0.011751,3.7,0.075933,0.034811,3.7,0.088007,0.040423,3.7,0.098604,0.042535,3.7,0.1109,0.04686,3.7,0.12271,0.050423
,3.8,0.0049075,0.0022412,3.8,0.0073437,0.0032895,3.8,0.012277,0.0055569,3.8,0.024758,0.01118,3.8,0.037808,0.015748,3.8,0.049405,0.022858,3.8,0.063119,0.011771,3.8,0.075925,0.034788,3.8,0.087995,0.040499,3.8,0.098604,0.04253,3.8,0.1109,0.046866,3.8,0.12271,0.050438
,3.9,0.0049074,0.0022404,3.9,0.0073437,0.0032888,3.9,0.012277,0.0055577,3.9,0.024757,0.011168,3.9,0.037808,0.015747,3.9,0.049405,0.022876,3.9,0.06311,0.011769,3.9,0.075915,0.034797,3.9,0.087987,0.040523,3.9,0.098601,0.042538,3.9,0.11089,0.046847,3.9,0.1227,0.050631
,4,0.0049073,0.0022411,4,0.0073439,0.0032816,4,0.012277,0.0055608,4,0.024756,0.011153,4,0.03781,0.015731,4,0.049405,0.022873,4,0.063106,0.011762,4,0.075907,0.034808,4,0.087977,0.040449,4,0.0986,0.042535,4,0.11089,0.046772,4,0.1227,0.050461
,4.1,0.0049073,0.0022404,4.1,0.0073439,0.0032843,4.1,0.012277,0.0055562,4.1,0.024755,0.011172,4.1,0.03781,0.015747,4.1,0.049405,0.022866,4.1,0.063101,0.01174,4.1,0.075907,0.034796,4.1,0.087968,0.040414,4.1,0.098598,0.042533,4.1,0.11088,0.046794,4.1,0.1227,0.050455
,4.2,0.0049075,0.0022424,4.2,0.0073438,0.0032822,4.2,0.012276,0.0055552,4.2,0.024754,0.011181,4.2,0.037812,0.015742,4.2,0.049405,0.022879,4.2,0.063096,0.011736,4.2,0.075898,0.034825,4.2,0.087965,0.040465,4.2,0.098596,0.042576,4.2,0.11088,0.046838,4.2,0.1227,0.050494
,4.3,0.0049077,0.0022434,4.3,0.0073434,0.0032821,4.3,0.012276,0.005563,4.3,0.024753,0.01119,4.3,0.037813,0.015755,4.3,0.049406,0.022873,4.3,0.063087,0.011712,4.3,0.075888,0.034856,4.3,0.087953,0.040436,4.3,0.098595,0.042586,4.3,0.11088,0.04682,4.3,0.12269,0.050537
,4.4,0.0049075,0.0022403,4.4,0.0073432,0.0032805,4.4,0.012275,0.0055686,4.4,0.024751,0.011188,4.4,0.037813,0.015765,4.4,0.049407,0.022914,4.4,0.063083,0.011715,4.4,0.075881,0.034827,4.4,0.087943,0.040467,4.4,0.098592,0.042594,4.4,0.11087,0.046845,4.4,0.12268,0.050518
,4.5,0.004907,0.0022419,4.5,0.0073432,0.0032844,4.5,0.012274,0.0055625,4.5,0.024749,0.011193,4.5,0.037815,0.015758,4.5,0.049408,0.022854,4.5,0.063082,0.01169,4.5,0.075875,0.034792,4.5,0.08794,0.040384,4.5,0.098587,0.042584,4.5,0.11087,0.046829,4.5,0.12268,0.05048
,4.6,0.0049065,0.0022404,4.6,0.0073431,0.0032704,4.6,0.012274,0.0055641,4.6,0.024748,0.011187,4.6,0.037816,0.015748,4.6,0.049409,0.022861,4.6,0.063072,0.011689,4.6,0.075867,0.034831,4.6,0.087919,0.040345,4.6,0.098584,0.042552,4.6,0.11086,0.046817,4.6,0.12267,0.050531
,4.7,0.0049057,0.0022387,4.7,0.0073429,0.0032778,4.7,0.012273,0.0055732,4.7,0.024745,0.011173,4.7,0.037817,0.015747,4.7,0.049408,0.022859,4.7,0.063072,0.011701,4.7,0.075865,0.034848,4.7,0.087908,0.040338,4.7,0.098579,0.042469,4.7,0.11085,0.046832,4.7,0.12266,0.050524
,4.8,0.0049049,0.0022408,4.8,0.0073426,0.003276,4.8,0.012271,0.0055719,4.8,0.024744,0.011161,4.8,0.037817,0.015722,4.8,0.049407,0.022875,4.8,0.063059,0.01169,4.8,0.075848,0.034859,4.8,0.087903,0.040332,4.8,0.098572,0.042474,4.8,0.11085,0.046778,4.8,0.12265,0.050506
,4.9,0.0049045,0.002241,4.9,0.0073425,0.003269,4.9,0.01227,0.005569,4.9,0.024742,0.01117,4.9,0.037817,0.015744,4.9,0.049406,0.022864,4.9,0.06305,0.0117,4.9,0.075844,0.034815,4.9,0.087893,0.040338,4.9,0.098564,0.042452,4.9,0.11085,0.046716,4.9,0.12265,0.050482
,5,0.0049042,0.0022422,5,0.0073423,0.0032679,5,0.012269,0.0055589,5,0.02474,0.011161,5,0.037817,0.015724,5,0.049404,0.022822,5,0.063045,0.011704,5,0.075835,0.034775,5,0.087891,0.040354,5,0.098559,0.042481,5,0.11084,0.046907,5,0.12265,0.050517
,5.1,0.0049038,0.0022447,5.1,0.0073418,0.0032738,5.1,0.012268,0.0055627,5.1,0.024738,0.011171,5.1,0.037817,0.015747,5.1,0.049402,0.022867,5.1,0.063036,0.011679,5.1,0.075827,0.034796,5.1,0.087878,0.040356,5.1,0.098554,0.042507,5.1,0.11084,0.046934,5.1,0.12264,0.050524
,5.2,0.0049036,0.0022438,5.2,0.0073414,0.0032714,5.2,0.012268,0.0055613,5.2,0.024735,0.01116,5.2,0.037817,0.015745,5.2,0.049401,0.022873,5.2,0.063035,0.01165,5.2,0.075814,0.034736,5.2,0.087863,0.040285,5.2,0.098548,0.04245,5.2,0.11083,0.046868,5.2,0.12263,0.050441
,5.3,0.0049033,0.0022466,5.3,0.0073413,0.0032718,5.3,0.012267,0.0055554,5.3,0.024733,0.011163,5.3,0.037818,0.015726,5.3,0.0494,0.022877,5.3,0.063028,0.011649,5.3,0.075808,0.034754,5.3,0.087855,0.040267,5.3,0.098543,0.042444,5.3,0.11082,0.046881,5.3,0.12261,0.050523
,5.4,0.0049033,0.0022453,5.4,0.007341,0.0032744,5.4,0.012267,0.0055599,5.4,0.024732,0.011171,5.4,0.037819,0.015733,5.4,0.049399,0.022878,5.4,0.063025,0.011632,5.4,0.075802,0.034707,5.4,0.087845,0.04022,5.4,0.098538,0.042384,5.4,0.11081,0.046845,5.4,0.1226,0.050516
,5.5,0.004903,0.0022456,5.5,0.0073404,0.0032648,5.5,0.012268,0.0055592,5.5,0.024731,0.011179,5.5,0.037818,0.015726,5.5,0.049396,0.022904,5.5,0.063017,0.011647,5.5,0.075794,0.034747,5.5,0.087831,0.040241,5.5,0.09853,0.042382,5.5,0.1108,0.046842,5.5,0.12258,0.050462
,5.6,0.0049027,0.0022466,5.6,0.0073394,0.003276,5.6,0.012267,0.0055598,5.6,0.024729,0.011182,5.6,0.037817,0.015729,5.6,0.049395,0.022873,5.6,0.06301,0.01165,5.6,0.075779,0.034689,5.6,0.087818,0.040218,5.6,0.098523,0.042427,5.6,0.11079,0.046839,5.6,0.12257,0.050527
,5.7,0.004903,0.0022487,5.7,0.0073389,0.0032802,5.7,0.012266,0.0055622,5.7,0.024726,0.011175,5.7,0.037816,0.015732,5.7,0.049395,0.022859,5.7,0.063007,0.011595,5.7,0.075768,0.034711,5.7,0.087806,0.040215,5.7,0.098513,0.042394,5.7,0.11078,0.046865,5.7,0.12255,0.050527
,5.8,0.0049031,0.0022477,5.8,0.0073383,0.0032788,5.8,0.012264,0.0055639,5.8,0.024724,0.011179,5.8,0.037814,0.015705,5.8,0.049392,0.022843,5.8,0.062995,0.011596,5.8,0.075763,0.034695,5.8,0.087796,0.040224,5.8,0.098505,0.042382,5.8,0.11077,0.046841,5.8,0.12254,0.05049
,5.9,0.0049031,0.0022456,5.9,0.0073381,0.0032831,5.9,0.012263,0.0055707,5.9,0.024721,0.011169,5.9,0.037815,0.015717,5.9,0.049389,0.022871,5.9,0.06299,0.011588,5.9,0.075753,0.034701,5.9,0.087788,0.040165,5.9,0.098493,0.042414,5.9,0.11075,0.046864,5.9,0.12253,0.050503
,6,0.0049031,0.0022457,6,0.0073381,0.0032889,6,0.012261,0.0055684,6,0.024719,0.011159,6,0.037817,0.015715,6,0.049388,0.022852,6,0.062982,0.011568,6,0.075751,0.03467,6,0.087771,0.040148,6,0.098482,0.042421,6,0.11074,0.046913,6,0.12251,0.050463
,6.1,0.0049028,0.0022479,6.1,0.0073379,0.0032874,6.1,0.01226,0.0055781,6.1,0.024718,0.011167,6.1,0.037818,0.01572,6.1,0.049387,0.022832,6.1,0.062974,0.011551,6.1,0.075738,0.034697,6.1,0.087752,0.0401,6.1,0.098472,0.042342,6.1,0.11073,0.046802,6.1,0.12249,0.05037
